TimeStamp, Type, State, Seconds, ErrorCode, ErrorMessage, Application, Scope, Mandant, User, Report, SubReportTables, SubReportFields, Tables, Finds, Crit%, ReqRows, Rows, TempIndexCount, TempIndexRecs, OnTheFlyCount, OnTheFlyRecs, Memory, TempMemory, Parameter, Reused, Delayed, SnapshotMeta, RunningReports, OpenReports, Sessions
2023/06/20 10:42:37.254, rep, ok, 0.00083, 0, "", "ABAV", "", 8370, "dosa[106]", "D:\Abacus\abac\kd\abav\HEAG\ABEA\ADOSperren\ADOSperrenVK.avx", 0, 0, 2, 3, 100,, 1, 0, 0, 0, 0, 0.06, 0.01, "$Client=8370|$ExportPath=D:\Abacus\abac\kd\abav\zentrale_daten\tmp_Zentrale...|$Scope=DefaultScope|$Type=print-txt/ansi|$UserMsg=de|artikelNummer=212000106|variantenNummer=0", 35, 0, , 4, 121, 303
2023/06/20 10:42:37.309, rep, ok, 0.04514, 0, "", "ABAV", "", 8370, "dosa[106]", "D:\Abacus\abac\kd\abav\HEAG\ABEA\Einkauf\DoppelteRechnungsNummer\DoppelteRechnungsNummer.avx", 0, 0, 1, 172, 100,, 170, 0, 0, 1, 170, 0.06, 0.01, "$Client=8370|$ExportPath=D:\Abacus\abac\out\HEAG\Werkstuecke\tmp_Werkstueck...|$Scope=DefaultScope|$Type=print-txt/ansi|$UserMsg=de|BestellNr=5064794|LieferantenNr=71396|RechnungsNr=", 36, 0, , 4, 121, 303
2023/06/20 10:42:37.353, rep, ok, 0.00074, 0, "", "ABAV", "", 8370, "dosa[106]", "D:\Abacus\abac\kd\abav\HEAG\ABEA\ADOSperren\ADOSperrenVK.avx", 0, 0, 2, 3, 100,, 1, 0, 0, 0, 0, 0.06, 0.01, "$Client=8370|$ExportPath=D:\Abacus\abac\kd\abav\zentrale_daten\tmp_Zentrale...|$Scope=DefaultScope|$Type=print-txt/ansi|$UserMsg=de|artikelNummer=219003431|variantenNummer=0", 36, 0, , 4, 121, 303
2023/06/20 10:42:37.407, rep, ok, 0.04572, 0, "", "ABAV", "", 8370, "dosa[106]", "D:\Abacus\abac\kd\abav\HEAG\ABEA\Einkauf\DoppelteRechnungsNummer\DoppelteRechnungsNummer.avx", 0, 0, 1, 172, 100,, 170, 0, 0, 1, 170, 0.06, 0.01, "$Client=8370|$ExportPath=D:\Abacus\abac\out\HEAG\Werkstuecke\tmp_Werkstueck...|$Scope=DefaultScope|$Type=print-txt/ansi|$UserMsg=de|BestellNr=5064794|LieferantenNr=71396|RechnungsNr=", 37, 0, , 4, 121, 303
2023/06/20 10:42:37.455, rep, ok, 0.00097, 0, "", "ABAV", "", 8370, "dosa[106]", "D:\Abacus\abac\kd\abav\HEAG\ABEA\ADOSperren\ADOSperrenVK.avx", 0, 0, 2, 3, 100,, 1, 0, 0, 0, 0, 0.06, 0.01, "$Client=8370|$ExportPath=D:\Abacus\abac\kd\abav\zentrale_daten\tmp_Zentrale...|$Scope=DefaultScope|$Type=print-txt/ansi|$UserMsg=de|artikelNummer=219003431|variantenNummer=0", 37, 0, , 4, 121, 302
2023/06/20 10:42:37.507, rep, ok, 0.04321, 0, "", "ABAV", "", 8370, "dosa[106]", "D:\Abacus\abac\kd\abav\HEAG\ABEA\Einkauf\DoppelteRechnungsNummer\DoppelteRechnungsNummer.avx", 0, 0, 1, 172, 100,, 170, 0, 0, 1, 170, 0.06, 0.01, "$Client=8370|$ExportPath=D:\Abacus\abac\out\HEAG\Werkstuecke\tmp_Werkstueck...|$Scope=DefaultScope|$Type=print-txt/ansi|$UserMsg=de|BestellNr=5064794|LieferantenNr=71396|RechnungsNr=", 38, 0, , 4, 121, 302
2023/06/20 10:42:37.544, rep, ok, 0.00081, 0, "", "ABAV", "", 8370, "dosa[106]", "D:\Abacus\abac\kd\abav\HEAG\ABEA\ADOSperren\ADOSperrenVK.avx", 0, 0, 2, 3, 100,, 1, 0, 0, 0, 0, 0.06, 0.01, "$Client=8370|$ExportPath=D:\Abacus\abac\kd\abav\zentrale_daten\tmp_Zentrale...|$Scope=DefaultScope|$Type=print-txt/ansi|$UserMsg=de|artikelNummer=219003323|variantenNummer=0", 38, 0, , 4, 121, 302
2023/06/20 10:42:37.597, rep, ok, 0.04305, 0, "", "ABAV", "", 8370, "dosa[106]", "D:\Abacus\abac\kd\abav\HEAG\ABEA\Einkauf\DoppelteRechnungsNummer\DoppelteRechnungsNummer.avx", 0, 0, 1, 172, 100,, 170, 0, 0, 1, 170, 0.06, 0.01, "$Client=8370|$ExportPath=D:\Abacus\abac\out\HEAG\Werkstuecke\tmp_Werkstueck...|$Scope=DefaultScope|$Type=print-txt/ansi|$UserMsg=de|BestellNr=5064794|LieferantenNr=71396|RechnungsNr=", 39, 0, , 4, 121, 302
2023/06/20 10:42:37.643, rep, ok, 0.00077, 0, "", "ABAV", "", 8370, "dosa[106]", "D:\Abacus\abac\kd\abav\HEAG\ABEA\ADOSperren\ADOSperrenVK.avx", 0, 0, 2, 3, 100,, 1, 0, 0, 0, 0, 0.06, 0.01, "$Client=8370|$ExportPath=D:\Abacus\abac\kd\abav\zentrale_daten\tmp_Zentrale...|$Scope=DefaultScope|$Type=print-txt/ansi|$UserMsg=de|artikelNummer=219003323|variantenNummer=0", 39, 0, , 4, 121, 302
2023/06/20 10:42:37.695, rep, ok, 0.04252, 0, "", "ABAV", "", 8370, "dosa[106]", "D:\Abacus\abac\kd\abav\HEAG\ABEA\Einkauf\DoppelteRechnungsNummer\DoppelteRechnungsNummer.avx", 0, 0, 1, 172, 100,, 170, 0, 0, 1, 170, 0.06, 0.01, "$Client=8370|$ExportPath=D:\Abacus\abac\out\HEAG\Werkstuecke\tmp_Werkstueck...|$Scope=DefaultScope|$Type=print-txt/ansi|$UserMsg=de|BestellNr=5064794|LieferantenNr=71396|RechnungsNr=", 40, 0, , 4, 121, 302
